manipulation	manipulació
providence	providència
craziness	bogeria
stimulate	estimular
angry	enutjat
commodious	commodiós
unprofitable	inútil
transgression	transgressió
eagerness	afany
devastatingly	devastadorament
bitter	amarg
valiant	valent
harpy	harpia
perfect	perfecte
intransigence	intransigència
destabilisation	desestabilització
weep	plorar
discourage	descoratjar
painful	dolorós
hoard	acumular
grin	sonrisa
corrupt	corrupte
enjoy	gaudir
success	Èxit
weaknesses	debilitats
disputed	disputat
superficiality	superficialitat
forbidden	prohibit
hurtful	perjudicial
asinininity	asininitat
flourishing	floreciente
unfulfilled	incomplert
agreeably	agradablement
inescapably	ineludiblement
barren	estèril
fallacies	fal·làcies
inefficiently	ineficientment
brutalities	brutalitats
cool	guai
doubt	dubte
unsuspecting	despreocupat
stench	pudent
worse	pitjor
tangled	enredat
revolutionized	revolucionat
flakey	escamós
excitement	emoció
trickery	trucs
interruption	interrupció
miserably	miserablement
leaky	fugaç
morality	moralitat
impetuous	impetuós
bless	beneeixi
swanky	espantós
assurance	garantia
pertinacious	pertinent
nagging	irritable
shunned	rebutjat
slur	boig
cringes	enganya
rifts	fractures
detracted	detret
peacekeepers	pacificadors
fastidious	fastidiós
shamefulness	vergonya
simplify	simplificar
intimidatingly	intimidant
goading	endurint
overstatement	exageració
benifits	beneficis
celebration	celebració
accolade	acolliment
terrorize	aterrorizar
shocking	impactant
significant	significatiu
rascal	malvat
motivated	motivat
spoonfed	cullerades
inequitable	inequitat
inhospitable	inhòspit
stiflingly	sofocant
overacted	sobreactuat
expulse	expulsar
tempting	temptadora
antipathy	antipatia
rhetoric	retòrica
shark	tauró
feasibly	factiblement
foe	enemic
hissing	xiuxiuejant
prohibitive	prohibitiu
mischievous	entremaliat
scuffs	raspalls
correct	correcte
mordantly	mordantment
denunciations	denúncies
evocative	evocador
insubordinate	insubordinat
disordered	desordenat
sincerely	sincerament
merrily	alegrement
polite	educat
derisiveness	despreocupació
blossom	florir
problematic	problemàtic
cleanliness	neteja
covenant	pacte
frightening	aterridor
violator	infractor
wrought	forjat
indiscriminate	indiscriminada
dizzy	mareig
crummy	cruel
scenic	escènic
retaliatory	represàlia
injustice	injustícia
devout	devot
slack	fluix
disable	desactivar
stuck	enganxat
depression	depressió
conspicuously	clarament
magical	màgic
inimically	enèrgicament
insurmountably	insuperablement
inexpertly	inexpert
scaly	escamós
stubbornly	obstinadament
reconcile	reconciliar
toll	peatge
heretic	heretge
downfall	caiguda
loneliness	solitud
inspiring	inspirador
oversights	descuits
prefered	preferit
cannibalize	canibalitzar
terrorism	terrorisme
safe	segur
glow	brillar
submissive	sotmès
wily	astut
enrapture	embotit
sickly	malalt
evenly	uniformement
overwhelmed	aclaparat
creative	creatiu
patience	paciència
fortitude	fortitud
multi-purpose	multiusos
discriminatory	discriminatori
top-heavy	pesat
spellbind	ortografia
noises	sorolls
revulsion	repulsió
liberation	alliberament
smartly	intel·ligentment
pretend	fingir
proprietary	propietari
violation	violació
beloved	estimat
geeky	geek
betrayals	traïcions
eschew	eviteu
apotheosis	apoteosi
qualified	qualificat
instability	inestabilitat
haphazard	atzar
inefficacious	ineficaç
overshadow	eclipsar
faith	fe
evildoer	malvat
desiccate	dessecar
abomination	abominació
concerned	preocupat
absence	absència
cautionary	precaució
conscientious	conscient
spiritual	espiritual
desperately	desesperadament
estranged	allunyat
sweetheart	amor
stooges	estripes
imprudence	imprudència
drunkard	borratxo
miserableness	miserable
renunciation	renúncia
bothersome	molest
dishonesty	deshonestedat
outrages	indignacions
mistakes	errades
venomously	verídicament
scoff	burlar-se
questionable	qüestionable
rant	esclat
brutish	brutal
slime	llot
relaxed	relaxat
rejects	rebutja
enhances	millora
upheld	mantingut
rejoicingly	alegrement
offend	ofendre
profanity	profanitat
downhearted	descoratjat
advanced	avançat
dull	avorrit
ripped	arrencat
insane	boig
drains	desguassos
beautifullly	bellesa
inadequately	inadequadament
betraying	traïció
pandemonium	pandemoni
wondrous	meravellós
setbacks	contratemps
dissolution	dissolució
excessive	excessiu
tawdry	taca
imperfections	imperfeccions
romantically	romànticament
inconvenience	inconveniència
overthrow	derrocar
obstinately	obstinadament
shady	ombrejat
straggle	estremir
awfulness	horrible
extraordinarily	extraordinàriament
qualify	qualificar
conceited	presumit
pain	dolor
wonderous	meravellós
ease	facilitat
renaissance	renaixença
resourcefulness	enginyós
accusingly	acusadament
intricate	complex
furious	furiós
desolate	desolat
bumpy	accidentat
ready	llest
wastefulness	desperdicio
capricious	capritxós
backwoods	llenyataires
faulty	defectuós
jubiliant	jubilant
empower	autoritzar
brilliances	brillants
disconcert	desconcert
fair	just
ultimatum	ultimàtum
ruthless	cruel
suffers	pateix
personages	personatges
pleased	satisfet
ineffectively	ineficaç
hiss	silenci
impaired	deteriorat
hype	bombo
depressingly	depriment
inequities	desigualtats
occluded	ocluït
authentic	autèntic
naïve	ingenu
run-down	aixafar
uncomfortable	incòmode
daunting	intimidant
acclaimed	aclamat
inflammed	inflamada
sore	dolor
adulteration	adulteració
favored	afavorit
stiff	rígid
stealing	robatori
extremism	extremisme
decline	disminució
alarming	alarmant
overthrows	derrotes
unmatched	inigualable
subversive	subversiu
renounce	renunciar
weaken	debilitar
hatred	odi
delusions	deliris
disregard	ignorar
damage	dany
calumny	calumnia
unwell	malestar
unsteadily	inoportú
exagerates	exagerats
despicable	despreciable
rusts	rovells
oppressiveness	opressivitat
mishap	contratemps
insensitively	insensiblement
romanticize	romanticitzar
mistrustfully	desconfiadament
respite	descans
thrills	emocions
destruction	destrucció
distract	distreure
snagged	enganxat
gravely	greu
resigned	resignat
damages	danys
enjoyable	agradable
oppressively	opressivament
maltreatment	maltractament
mawkishly	francament
cringe	encongir-se
stifle	sofocar
marveled	meravellat
breathlessness	inhalació
murder	assassinat
crumples	esclafeix
scarce	escàs
undone	desfeta
futurestic	futurisme
throttle	accelerador
dominates	domina
dismal	trist
stalls	parades
useable	utilitzable
spontaneous	espontani
savvy	intel·ligent
obstructed	obstruït
bright	brillant
encroachment	invasió
unhappy	infeliç
sinful	pecaminós
slogs	eslògans
smugly	presumiblement
leverage	apalancament
beautifully	bellament
tortured	torturat
suck	xuclar
vagrant	vagabund
scoundrel	canalla
dismalness	tristesa
confession	confessió
assault	assalt
satirical	satíric
sourly	Àcidament
uprising	aixecament
obscenity	obscenitat
hollow	buit
spewing	llançant
badly	malament
complaints	queixes
slaves	esclaus
woe	ai
taxing	impostos
blockbuster	superproducció
fascinating	fascinant
menacing	amenaçador
jubilantly	alegre
raptureously	còmicament
plagiarize	plagiar
hero	heroi
imperious	imperiós
obsessive	obsessiu
illegitimate	il·legítim
timidity	timidesa
misconception	equívoc
disdain	menyspreu
glorious	gloriós
extort	extorsionar
confounded	confosos
shameless	descarat
protracted	prolongada
discountenance	descentrat
repulsively	repulsivament
overemphasize	sobreemphasize
outperform	superat
smelly	dolorós
galls	galetes
apprehensive	aprensiu
pretentiously	pretensiós
glitches	fallades
cure	cura
overrated	sobrevalorat
deadly	mortal
recklessly	imprudentment
belittle	menyspreu
moot	discutible
avenge	venja
jolly	alegre
complication	complicació
truthfully	veritablement
slowly	lentament
tarnish	manchar
unfinished	inacabat
revolt	revolta
egotistically	egoista
impress	impressionar
thirst	set
reputation	reputació
repetitive	repetitiu
awed	sorprès
objections	objeccions
infamy	infamia
craps	dits
dangerousness	perillositat
warped	deformat
obtrusive	molest
miseries	misèries
fortunately	afortunadament
nervous	nerviós
involuntarily	involuntàriament
contention	contenció
distraught	distraído
repudiation	repudi
efficacious	eficaç
contravene	contravenen
happiness	felicitat
easiness	facilitat
mourner	morir
unexpected	inesperat
consternation	consternació
shortsighted	miopes
adoringly	adorant
worriedly	preocupat
passive	passiu
benevolence	benevolència
imprecision	imprecisió
difficulty	dificultat
bruise	moretones
grievously	greument
reaffirm	reafirmar
admire	admirar
engaging	atractiu
coarse	tosca
sloppily	descaradament
work	treballar
drain	desguàs
sunk	enfonsat
obsessiveness	obsessivitat
stingy	taca
abound	abunden
supportive	solidari
scared	espantat
disgustful	desagradable
cursed	maleït
edify	edificar
abusive	abusiu
throbs	empentes
incompatibility	incompatibilitat
disconsolation	disconsolació
inventive	inventiva
euphoric	eufòric
sulk	emmurriar-se
slick	taca
imposers	impositors
creeping	rastrero
harbors	ports
hang	penjar
accuses	acusa
bewitch	embruixar
fevers	febres
powerful	potent
straightforward	senzill
cronyism	cronisme
slump	caure
criticized	criticat
apathy	apatia
harm	danyar
devastates	devasta
rankle	ranxo
devastation	devastació
mistaken	equivocat
hawkish	picant
odor	olor
lousy	pèssim
transgress	transgredir
cataclysmically	cataclisme
exasperate	exasperat
dumps	abocadors
lowly	humil
eccentricity	excentricitat
insupportable	insuportable
privilege	privilegi
politeness	cortesia
stunned	atordit
sweetly	dolça
enfeeble	endeutament
draconic	draconi
immobilized	immobilitzat
scandals	escàndols
devastated	devastat
mawkishness	malvat
nettle	ortiga
slanderer	calumniador
delays	retards
infringement	infracció
bombardment	bombardeig
tumbles	caigudes
tenderness	tendresa
steadiness	estabilitat
insolence	insolència
stumble	ensopegar
drastic	dràstic
maladjustment	desajust
delight	delícia
demon	dimoni
byzantine	bizantí
delicate	delicat
enviable	envejable
zeal	zel
frighten	espantar
haunting	inquietant
effigy	efígie
puzzled	desconcertat
accomplish	aconseguir
repel	repel·lir
inevitably	inevitablement
irrationalities	irracionalitats
inconsistency	inconsistència
wickedness	maldat
defect	defecte
discontinuity	discontinuïtat
repugn	repudiar
affirm	afirmar
womanizing	femella
cripple	parapleja
enraptured	embrollat
sardonic	sardònics
rust	Òxid
sunken	enfonsat
beckoning	trucant
exhaustion	esgotament
inviolate	inviolada
dispiriting	despectiva
fanatics	fanàtics
disturb	molestar
pompous	pomposo
unsatisfactory	insatisfactori
bitingly	mossegant
falls	cau
creaks	crepes
cracks	esquerdes
compliant	compatible
furiously	furiosament
perversely	perversament
stunt	truc
offending	ofensiu
hardships	dificultats
extraordinary	extraordinari
excruciatingly	incrèdulament
stylish	elegant
inhumanity	inhumanitat
scathing	mordaç
fiction	ficció
betrayer	traïdor
leaking	fuites
junky	embruixat
slumping	saltant
truthful	verídica
hideously	horriblement
invigorating	vigoritzant
rabid	rabiós
dislocated	dislocat
sweetness	dolçor
adored	adorat
remedy	remei
repugnantly	repugnant
outbursts	esclats
limited	limitat
complicated	complicat
respect	respecte
buzzing	zumbido
drag	arrossegueu
titillatingly	titillant
ghosting	fantasma
easygoing	fàcil
capably	hàbilment
frightfully	espantós
admiring	admirant
astoundingly	sorprenentment
achievable	assolible
unspeakable	inefable
myth	mite
floundering	flotant
helplessness	impotència
captivating	cautivant
annoys	molesta
gallant	galant
gutter	canaló
creep	arrossegar-se
believable	creïble
flashy	cridaner
whores	putes
doomed	condemnat
insensitivity	insensibilitat
dissatisfaction	insatisfacció
responsive	sensible
pretense	pretensió
smelled	olorava
hotcake	brioix
mendacity	mendacitat
dire	calamitós
enjoys	gaudeix
breathtaking	impressionant
infections	infeccions
blunders	errors
disheartening	descoratjador
nourishing	alimentant
puppets	titelles
scary	asustadizo
forfeit	perdut
stellar	estel·lar
inundate	inundar
defeating	derrotant
loves	estima
plunderer	saquejador
longing	anhel
regression	regressió
fear	por
indoctrination	adoctrinament
blunder	error
like	m'agrada
contagious	contagiosa
prohibitively	prohibitivament
incredibly	increïblement
bugs	errors
annoyance	molèstia
impious	impius
ravage	estrip
entertaining	entretingut
spellbindingly	fascinant
expire	caducar
bolster	reforçar
suppression	supressió
lack	falta
irresistibly	irresistiblement
convincing	convincent
repulse	repulsa
accomodative	acollidor
crippling	trencant
drop-out	abandonament
adulterate	adulterat
distaste	distès
meager	pobre
heroize	heroïtzar
harshly	duresa
wellbeing	benestar
salutary	saludable
angel	àngel
obtuse	obtús
murky	tèrbol
discriminate	discriminar
peaceable	pacífica
impatient	impacient
tardy	tard
jubilate	jubilar
forged	forjat
subjection	subjecció
encroach	envair
humiliating	humiliant
castrated	castrat
spitefulness	escandalós
disavowal	desestimació
smiling	somrient
insufferably	insufriblement
classic	clàssic
unclear	incert
insinuate	insinuar
dismayingly	desagradable
blister	ampolla
confusing	confús
impressed	impressionat
notorious	notori
ill-treatment	maltractaments
dropout	abandonament
grudges	escates
encouragement	ànim
sarcastically	sarcàsticament
sagely	sagues
hallucinate	alucinar
-	-
very	molt
incredibly	increíblement
absolutely	absolutament
awfully	terriblement
enormously	enormement
extremely	extremadament
horribly	horriblement
seriously	seriament
pretty	bastant
too	massa
really	realment
most	més
more	més
-	-
no	no
not	no
can't	no
won't	no
doesn't no
don't	no
shouldn't	no
n't	no
didn't	no
couldn't	no
wouldn't	no
-	-
little	poc
enough	suficient
enough	suficientment
enough	bastant
enough	bastants
-	-
can	pot
could	podia
might	potser
might	pot
might	posiblement
should	deuria
