stress	estresa
washed-out	garbitua
accomodative	ostatua
excites	ilusioz
precise	zehatzak
passive	pasiboa
oddly	bitxi
dehumanization	deshumanizazioa
brighten	argitzeko
difficulty	zailtasun
incitement	haserrea
drop-out	utzi
tops	gailurretan
broken	hautsita
verifiable	egiaztagarria
anarchism	anarkismoa
grievously	gaizki
reaffirm	berretsi
admire	miresten
suffering	sufrimendua
engaging	bimbela
twists	bihurritu
clean	garbitu
coarse	lodia
conflicted	gatazkatsua
drain	drainatzea
disabled	desgaituta
guiltily	erruz
homage	omenaldia
stingy	zoragarria
abound	ugari
violent	bortitza
livid	larria
hurted	minik
dissappointing	desabantaila
laughingstock	barreak
disgustful	zorigaiztoko
scars	orbain
treachery	trebetasuna
anomalous	anomalo
excitedly	ilusioz
abusive	abusiboak
throbs	ekaitzak
loathing	gaitzespena
cruelly	krudelki
unsettle	aztoratu
suffer	sufritu
euphoric	euforikoa
famine	gosea
slick	beltza
reputable	fidagarria
excruciating	izugarri
rancor	erreskate
occluding	ezkutatzea
enthralled	liluratuta
goodness	zoriona
imprison	espetxeratu
simplistically	sinplista
adventurous	abenturazale
disconcerted	ezezaguna
hang	zintzilikatu
exorbitant	exorbitante
back-wood	atzeratua
leer	irakurri
reformed	berritua
appreciable	apala
fevers	sukarrak
time-honored	denbora-ohore
powerful	indartsua
cronyism	kronismoa
bitch	puta
comfortable	eroso
criticized	kritikatu
gloom	iluna
apathy	apatia
headway	aurrera
restructured	berregituratua
devastates	suntsitzen
recommended	gomendatua
somber	serio
devastation	suntsipena
mistaken	oker
entertains	entretenitzen
envy	inbidia
belligerently	beligerantea
cataclysmically	katakolikoki
languid	laranja
dumps	zabortegiak
lowly	txikia
excallent	harrigarria
eccentricity	eszentrikotasun
scare	uxatzeko
insincerely	gaizki
privilege	pribilegioa
demon	deabru
pertinaciously	egokiaz
invidiously	gaizki
sweetly	gozoki
oversight	zaintza
demonic	demonikoa
dissonant	disonantea
scared	beldur
draconic	draconiko
protested	protestatu
scandals	eskandaluak
devastated	suntsituta
straightforward	erraza
endorsing	onartuz
unrelenting	gupidagabe
staunchly	larriki
entrapment	harrapaketa
mad	ero
abominably	gorrotagarri
regretfully	zoritxarrez
steadiness	egonkortasuna
snag	harrapakin
rants	jarioak
wonderful	zoragarria
righten	eskuinera
neurotic	neurotikoa
cleanest	garbiena
rupture	haustura
cheapest	merkeena
drastic	zorrotza
missed	galduta
accidental	ustekabeko
embarrass	lotsa
snobby	harroputz
compatible	bateragarria
delight	gozamena
byzantine	bizantziarra
obnoxiously	gorrotagarri
reassure	lasaitu
compactly	trinkoa
superficially	gainazalean
delicate	delikatua
failures	hutsegiteak
enviable	inbidiagarria
bleeding	hemorragia
darkness	iluntasuna
disagreement	desadostasuna
persecution	jazarpena
gallantly	galantly
sluts	putak
effigy	efigia
winner	irabazlea
accomplish	betetzeko
lividly	bizirik
striking	deigarria
terribly	izugarri
irrationalities	irrazionaltasunak
inconsistency	inkonformitate
wickedness	maltzurkeria
obstacle	oztopoa
defect	akatsa
errant	errante
inequities	desberdintasunak
polarisation	polarizazioa
cheating	iruzurra
reaffirmation	berretsi
secretive	idazkera
stingingly	zorrotz
starvation	gosez
sustainable	iraunkorra
mockeries	burlak
disingenuous	desengainua
cripple	elbarri
splitting	zatitzea
enraptured	zorrotz
eccentric	eszentrikoak
dispiriting	desaktibatuta
awards	sariak
critics	kritikak
contempt	mespretxua
inpressed	inprimatuta
wrongful	gaizki
throbbing	birikak
fanatics	fanatikoak
delirium	delirio
unsatisfactory	onartezin
hoax	iruzurra
dauntingly	gogorra
bothered	kezkatuta
falls	jaitsierak
injustices	injustiziak
creaks	errautsak
luckiness	zoriontasuna
cracks	pitzadurak
compliant	betetzea
furiously	amorruz
miseries	miseriak
adverse	alderantzikatua
desiring	desiratzen
dishonorable	desatsegina
earnestness	seriotasuna
madman	ero
offending	hausteagatik
hardships	oinazeak
disavowal	desadostasuna
excruciatingly	zoritxarrez
insane	erokeria
disinclination	desinfekzioa
wripped	urratu
thinner	meheagoa
embroiled	hunkituta
stylish	dotorea
fathomless	zoritxarrez
scathing	maltzurkeria
fiction	fikzioa
craftily	artisau
betrayer	traizio
marvelous	zoragarria
sucker	salmenta
drains	drainatzen
sever	ebaki
sickeningly	okaztagarri
ailing	gaizki
truthful	egiazkoa
brainless	burmuina
invigorating	bizkortzea
maturely	madarikatu
dislocated	dislokatua
sweetness	gozotasuna
adored	adoratua
setbacks	atzerakadak
versatile	polifazetikoa
fallacies	falazia
rife	errepikatu
dissatisfactory	desatsegina
uncompromising	temati
boggle	nahastu
remedy	erremedioa
disagreed	desadostasunak
deficient	ahula
repugnantly	errefuxiatu
capitulate	kapitulatu
prefered	nahiago
master	maisu
complicated	konplexua
tricked	engainatu
obstruct	oztopatu
feasible	bideragarria
respect	errespetua
shamefulness	lotsagarritasuna
insignificance	ezezaguna
advocates	defendatzaileak
affordable	merkean
drag	arrastatu
stupified	zentzuduna
blow	kolpe
confrontational	konfrontazio
lucrative	irabazi
capably	gaably
ungrateful	eskergabe
irritant	irritante
admiring	miresten
dissatisfy	zoritxarrez
achievable	ezinbestekoa
immovable	higiezina
suspicious	susmagarria
disastrously	gaizki
bruising	ubeldura
mortification	mortifikazioa
bruises	ubeldurak
declining	beherantz
skeletons	eskeletoak
annoys	gogaitzen
over-awe	gainbehera
gallant	galant
disagreeably	desatsegin
naughty	bihurriak
craziness	zoriontasuna
stringent	zorrotzagoa
awful	beldurgarria
recover	berreskuratzea
whores	putak
tormented	oinazetsu
doomed	kondenatua
insensitivity	ezintasuna
vigilant	zaintzailea
dissatisfaction	atsekabea
responsive	sentikorrena
scrap	txatarra
disclaim	baztertzekoa
complains	kexak
pretense	aurpegia
hegemonism	hegemonismoa
illusions	ilusio
raping	bortxatzen
smelled	usaina
improbably	ezinbestean
persevere	perseveratu
outcry	gorrotoa
complement	osagarri
struggles	borrokak
rumple	zurrumurrua
barbarous	barbaroak
overthrows	desegin
villianous	villainous
self-serving	berekoia
effectively	eraginkortasunez
breathtaking	harrigarria
fortuitous	fortuitoa
inconvenience	eragozpenak
prohibitive	debekagarria
mystery	misterioa
wary	zuhur
merrily	zorionez
obstinately	zoritxarrez
infections	infekzioak
honored	ohore
prosecute	epaiketa
disable	desgaitu
disprove	baztertu
loneliness	bakardadea
disheartening	desoreka
preoccupy	kezka
boost	bultzatzea
excitedness	ilusioa
puppets	txotxongiloak
overshadow	oihuka
inadverent	nahigabeko
absence	absentzia
cutthroat	ebaki
forfeit	galdua
stellar	izar
bullying	jazarpena
loathly	zoritxarrez
transgression	transgresio
defeating	garaituz
loves	maite
mightily	agian
cold	hotza
assurance	bermea
drained	xukatu
plunderer	lapurtera
longing	irrika
legendary	mitikoa
rightly	ondo
concens	kontzentratzen
punish	zigortzea
depressingly	depresioa
authentic	benetakoa
picket	pipeta
daunting	gogorra
like	bezalakoak
contagious	kutsakorra
screech	garrasi
damage	kalteak
unwieldy	handiegia
incredibly	izugarri
dubious	zalantzazko
unlucky	zoritxarrez
impair	kaltetu
stealing	lapurreta
nauseates	nazkatzen
nasty	nazkagarria
savage	basati
massacre	sarraskia
hesitant	zalea
hero	heroi
prison	kartzela
promptly	laster
trouble	arazoak
egregiously	zoritxarrez
stronger	indartsuagoa
indeterminate	zehaztugabea
crumple	bihurritu
continuity	jarraitasuna
retard	atzerapena
hostage	bahitu
bolster	indartu
nefariously	gaizki
understandable	ulergarria
formidable	zoragarria
scandal	eskandalua
convincing	konbentzitzen
flexibility	malgutasuna
paradise	paradisua
crippling	lausotu
bruise	ubeldura
corrupts	usteltzen
sloooow	motel
adulterate	faltsutu
undermined	ahulduta
cursed	madarikatua
disconsolation	deskonposizioa
imposers	inpertsoreak
lying	etzanda
harshly	gogorra
wellbeing	ongizatea
salutary	osasuntsua
lead	beruna
assassinate	hiltzen
angel	aingeru
tangles	zaratak
bombardment	bonbardaketa
discriminate	bereizi
babble	lardaskatu
refresh	freskatu
involuntarily	nahigabeko
zeal	zelo
forged	forjatu
trickery	trikimailu
sorrowfully	zorionez
subjection	subjektua
amazing	harrigarria
encroach	eraso
humiliating	umiliatzen
extraordinary	apartekoa
hack	hakeatu
respectfully	errespetuz
smiling	irribarrez
unwanted	nahigabeko
destroyer	suntsitzailea
jealousy	jelosia
condescendingly	zoritxarrez
dismayingly	lotsagabe
inept	inepto
seething	haserre
graft	injertoa
cataclysm	kataklismoa
justly	justikoki
prolific	ugalkorra
impressed	harrituta
notorious	ezaguna
scapegoat	txapela
debt	zor
dropout	utzi
deviousness	dibulgazioa
niggle	eztabaidatu
entertaining	entretenigarria
inessential	inerteak
unreasonably	burugabe
disintegrate	desegin
upheaval	altxamendua
egotism	egotismoa
unlawfulness	ilegaltasuna
stupidest	ergelena
demonizing	demonizatzea
contradictory	kontraesankorra
encouragement	bultzatzea
polution	poluzioa
glory	aintza
losses	galerak
feeble	ahula
terrorism	terrorismoa
ridiculously	barregarria
-	-
very	oso
very	asko
incredibly	zoragarri
absolutely	guztiz
awfully	ikaragarri
enormously	izugarri
extremely	izugarri
horribly	ikaragarri
seriously	benetan
pretty	nahiko
too	gehiegi
really	benetan
most	gehien
more	gehiago
-	-
no	ez
not	ez
can't	ezin
won't	ez
doesn't ez
don't	ez
shouldn't	ez
n't	ez
didn't	ez
couldn't	ezin
wouldn't	ez
-	-
little	pixka
enough	nahiko
-	-
can	dezake
can	daiteke
could	zezakeen
could	zitekeen
might	liteke
might	beharbada
might	agian
should	beharko
